track_id|track_name|track_artist|track_popularity|track_album_id|danceability|duration_ms
6f807x0ima9a1j3VPbc7VN|I Don't Care (with Justin Bieber) - Loud Luxury Remix|Ed Sheeran|66|2oCs0DGTsRO98Gh5ZSl2Cx|0.748|194754
0r7CVbZTWZgbTCYdfa2P31|Memories - Dillon Francis Remix|Maroon 5|67|63rPSO264uRjW1X5E6cWv6|0.726|162600
1z1Hg7Vb0AhHDiEmnDE79l|All the Time - Don Diablo Remix|Zara Larsson|70|1HoSmj2eLcsrR0vE9gThr4|0.675|176616
75FpbthrwQmzHlBJLuGdC7|Call You Mine - Keanu Silva Remix|The Chainsmokers|60|1nqYsOef1yKKuGOVchbsk6|0.718|169093
1e8PAfcKUYoKkxPhrHqw4x|Someone You Loved - Future Humans Remix|Lewis Capaldi|69|7m7vv9wlQ4i0LFuJiE2zsQ|0.65|189052
7fvUMiyapMsRRxr07cU8Ef|Beautiful People (feat. Khalid) - Jack Wins Remix|Ed Sheeran|67|2yiy9cd2QktrNvWC2EUi0k|0.675|163049
2OAylPUDDfwRGfe0lYqlCQ|Never Really Over - R3HAB Remix|Katy Perry|62|7INHYSeusaFlyrHSNxm8qH|0.449|187675
6b1RNvAcJjQH73eZO4BLAB|Post Malone (feat. RANI) - GATTSO Remix|Sam Feldt|69|6703SRPsLkS4bPtMFFJes1|0.542|207619
7bF6tCO3gFb8INrEDcjNT5|Tough Love - Tisto Remix / Radio Edit|Avicii|68|7CvAfGvq4RlIwEbT9o8Iav|0.594|193187
